tiles,non freezing tiles,stones,search space size
7,3,1,18
12,5,2,100
14,5,2,120
18,6,2,240
20,8,2,504
22,9,3,1596
21,9,3,1512
22,13,3,5434
17,12,3,3080
20,9,3,1428
18,13,3,4290
20,12,3,3740
19,14,3,5824
16,9,3,1092
20,6,3,340
21,10,3,2160
16,10,3,1560
20,11,3,2805
20,11,3,2805
18,12,3,3300
15,12,3,2640
20,10,3,2040
18,10,3,1800
19,9,3,1344
20,11,3,2805
24,15,3,9555
20,14,3,6188
20,9,3,1428
16,11,3,2145
19,12,3,3520
19,15,3,7280
16,10,3,1560
19,10,3,1920
18,12,3,3300
20,13,4,11440
20,12,3,3740
20,10,3,2040
25,17,3,14960
22,13,4,12870
20,16,3,9520
20,8,3,952
18,15,4,19110
17,12,4,6435
17,13,3,4004
19,12,3,3520
18,10,3,1800
18,14,4,14014
18,10,3,1800
20,12,3,3740
20,9,3,1428
19,9,3,1344
19,12,3,3520
18,11,3,2475
23,17,3,13600
22,15,3,8645
19,12,3,3520
23,13,3,5720
22,12,3,4180
21,13,3,5148
24,14,3,7644
